model,condition,fold,PR-AUC,ROC-AUC,F1,Recall,Precision,threshold
LR,Class-weighting,0,0.670352,0.98045,0.777096,0.772358,0.781893,0.999972
LR,Class-weighting,1,0.739398,0.980102,0.762677,0.764228,0.761134,0.987781
RF,Class-weighting,0,0.805685,0.94194,0.81,0.818182,0.80198,0.310616
XGB,Class-weighting,0,0.847852,0.985453,0.866667,0.787879,0.962963,0.83902
CatBoost,Class-weighting,0,0.736181,0.964841,0.779487,0.767677,0.791667,0.739204
ANN,Class-weighting,0,0.754966,0.974924,0.793651,0.757576,0.833333,0.999795
RF,Class-weighting,1,0.887209,0.965686,0.892473,0.838384,0.954023,0.609812
XGB,Class-weighting,1,0.899342,0.973805,0.918919,0.858586,0.988372,0.767085
CatBoost,Class-weighting,1,0.827098,0.980389,0.845361,0.828283,0.863158,0.841363
ANN,Class-weighting,1,0.792673,0.976557,0.842105,0.808081,0.879121,1.0
LR,Class-weighting,2,0.75257,0.980815,0.821622,0.77551,0.873563,0.999962
RF,Class-weighting,2,0.859242,0.976119,0.873684,0.846939,0.902174,0.427787
XGB,Class-weighting,2,0.873594,0.993492,0.901099,0.836735,0.97619,0.928614
CatBoost,Class-weighting,2,0.714913,0.979053,0.834225,0.795918,0.876404,0.945943
ANN,Class-weighting,2,0.77943,0.981458,0.84492,0.806122,0.88764,0.981918
LR,Class-weighting,3,0.743852,0.967024,0.766667,0.704082,0.841463,0.999812
RF,Class-weighting,3,0.846508,0.960387,0.843243,0.795918,0.896552,0.45542
XGB,Class-weighting,3,0.842721,0.97018,0.869565,0.816327,0.930233,0.304884
CatBoost,Class-weighting,3,0.798586,0.968657,0.808511,0.77551,0.844444,0.662257
ANN,Class-weighting,3,0.799862,0.981404,0.824176,0.765306,0.892857,0.993736
LR,Class-weighting,4,0.722716,0.982855,0.784314,0.816327,0.754717,0.992268
RF,Class-weighting,4,0.805125,0.968174,0.835979,0.806122,0.868132,0.429892
XGB,Class-weighting,4,0.826815,0.988067,0.849462,0.806122,0.897727,0.835048
